cancion,artista,fecha_lanzamiento,rank_global,track_score,spotify_streams,spotify_playlist_count,spotify_playlist_reach,spotify_popularity,youtube_views,tiktok_posts,tiktok_views,shazam_counts,anio_lanzamiento
Cupido,TINI,2023-02-14,905,50.7,"358,240,136","35,751","23,674,275",70.0,"216,226,939","827,378","2,253,379,250","556,867",2023
Raja Ji Ke Dilwa,Pawan Singh,2023-12-19,909,50.6,"4,283",1,3,,"224,819,919",,,,2023
Out thï¿½ï¿½,Yeat,2022-09-09,907,50.6,"338,097,605","85,480","16,509,403",73.0,"54,214,841","47,215","117,839,587","664,273",2022
Winning Speech,Karan Aujla,2024-05-16,910,50.6,"17,917,738",938,"5,754,144",73.0,"28,606,016",,,"44,138",2024
Home,Good Neighbours,2024-01-17,911,50.6,"205,068,203","19,044","62,137,392",,"8,916,657",,"24,837,700","606,973",2024
Sobrio,Maluma,2021-07-08,908,50.6,"600,199,930","66,655","24,281,295",64.0,"743,954,914","189,200","254,681,143","1,823,474",2021
"Am I Dreaming (Metro Boomin & A$AP Rocky, Roisee)",Metro Boomin,2023-06-02,913,50.5,"247,682,011","67,166","13,150,883",72.0,"81,060,467","13,500","38,882,669","1,390,039",2023
Praise The Lord (Da Shine) (feat. Skepta),A$AP Rocky,2018-05-25,916,50.5,"1,244,981,489","295,646","48,300,175",78.0,"847,656,575","106,923","650,317,525","6,227,926",2018
Se Acabï¿½ï¿½ la Cuaren,Jowell & Randy,2020-08-06,915,50.5,"73,468,394","23,284","4,240,574",51.0,"73,136,867","10,152,900","2,985,601,079","1,057,655",2020
Look Back At It,A Boogie Wit da Hoodie,2018-12-07,912,50.5,"769,061,748","136,145","21,910,460",73.0,"233,288,549","202,814","250,645,860","6,255,853",2018
End of Beginning,Djo,2022-09-16,918,50.5,"710,784,872","64,517","191,969,474",90.0,"44,322,144","129,300","1,027,806,256","3,343,993",2022
K-POP,Travis Scott,2023-07-18,917,50.5,"285,481,590","62,715","24,530,922",68.0,"40,688,228","4,427","129,035,232","808,863",2023
favorite,Isabel LaRosa,2024-03-29,919,50.5,"123,802,404","7,364","40,769,771",82.0,"21,277,734",,"20,879,200","1,040,640",2024
You & Me,JENNIE,2023-10-06,914,50.5,"183,134,509","12,210","12,194,109",,"164,326,447","319,200","518,880,479","345,892",2023
Tattoo,Rauw Alejandro,2020-02-13,922,50.4,"341,742,937","53,836","9,757,013",58.0,"1,281,379,386","2,132,748","650,666,266","713,534",2020
Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song] (feat. Freshlyground),Shakira,2010-01-01,921,50.4,"829,352,129","159,324","36,048,887",61.0,"4,062,829,308","2,250,587","5,938,511,405",,2010
LA RANGER (feat. Myke Towers),The Academy: Segunda Misiï¿½,2024-03-28,920,50.4,"79,786,203","8,939","75,931,694",76.0,"32,616,728",,,"236,268",2024
no tears left to cry,Ariana Grande,2018-04-20,923,50.2,"1,331,371,819","100,503","36,840,744",71.0,"1,426,855,223","698,131","219,920,452","6,415,036",2018
Upside Down,JVKE,2020-08-18,925,50.1,"121,391,098","28,044","6,194,695",54.0,"19,099,476","10,318,700","1,710,758,827","1,184,072",2020
Crawling,Linkin Park,2024-04-12,927,50.1,"570,290,910",174,"525,584",,,,,,2024
